"17/08/2023","Gasto","Tecnología","Tecnología","12,99","Variable","Pagado"
"23/08/2023","Gasto","Tecnología","Tecnología","17,39","Variable","Pagado"
"24/08/2023","Gasto","Tecnología","Tecnología","15,99","Variable","Pagado"
"31/08/2023","Gasto","Tecnología","Tecnología","2,49","Variable","Pagado"
"05/08/2023","Gasto","Coche","Coche","25,01","Variable","Pagado"
"09/08/2023","Gasto","Coche","Coche","32,55","Variable","Pagado"
"14/08/2023","Gasto","Coche","Coche","45,00","Variable","Pagado"
"19/08/2023","Gasto","Coche","Coche","35,00","Variable","Pagado"
"21/08/2023","Gasto","Coche","Coche","27,06","Variable","Pagado"
"28/08/2023","Gasto","Coche","Coche","30,00","Variable","Pagado"
"02/09/2023","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"03/09/2023","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"10/09/2023","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"16/09/2023","Ingreso","Billetazo","Bizum","30,00","Variable","Pagado"
"18/09/2023","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"21/09/2023","Ingreso","Billetazo","Bizum","3,00","Variable","Pagado"
"22/09/2023","Ingreso","Billetazo","Bizum","21,00","Variable","Pagado"
"23/09/2023","Ingreso","Billetazo","Bizum","5,20","Variable","Pagado"
"24/09/2023","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"25/09/2023","Ingreso","Billetazo","Bizum","42,40","Variable","Pagado"
"26/09/2023","Ingreso","Billetazo","Bizum","1,50","Variable","Pagado"
"27/09/2023","Ingreso","Billetazo","Bizum","2,00","Variable","Pagado"
"28/09/2023","Ingreso","Billetazo","Bizum","4,80","Variable","Pagado"
"29/09/2023","Ingreso","Billetazo","Bizum","980,34","Variable","Pagado"
"01/09/2023","Gasto","Ocio","Comida","7,40","Variable","Pagado"
"02/09/2023","Gasto","Ocio","Comida","10,44","Variable","Pagado"
"07/09/2023","Gasto","Ocio","Comida","3,29","Variable","Pagado"
"08/09/2023","Gasto","Ocio","Comida","8,65","Variable","Pagado"
"09/09/2023","Gasto","Ocio","Comida","15,91","Variable","Pagado"
"10/09/2023","Gasto","Ocio","Comida","6,90","Variable","Pagado"
"11/09/2023","Gasto","Ocio","Comida","5,00","Variable","Pagado"
"12/09/2023","Gasto","Ocio","Comida","13,98","Variable","Pagado"
"14/09/2023","Gasto","Ocio","Comida","11,98","Variable","Pagado"
"16/09/2023","Gasto","Ocio","Comida","4,00","Variable","Pagado"
"22/09/2023","Gasto","Ocio","Comida","39,10","Variable","Pagado"
"24/09/2023","Gasto","Ocio","Comida","47,20","Variable","Pagado"
"25/09/2023","Gasto","Ocio","Comida","3,81","Variable","Pagado"
"26/09/2023","Gasto","Ocio","Comida","1,40","Variable","Pagado"
"27/09/2023","Gasto","Ocio","Comida","3,00","Variable","Pagado"
"28/09/2023","Gasto","Ocio","Comida","4,35","Variable","Pagado"
"29/09/2023","Gasto","Ocio","Comida","1,40","Variable","Pagado"
"23/09/2023","Gasto","Ropa","Ropa","4,99","Variable","Pagado"
"02/09/2023","Gasto","Ocio","Entretenimiento","19,90","Variable","Pagado"
"04/09/2023","Gasto","Ocio","Entretenimiento","1,90","Variable","Pagado"
"06/09/2023","Gasto","Ocio","Entretenimiento","41,89","Variable","Pagado"
"08/09/2023","Gasto","Ocio","Entretenimiento","30,40","Variable","Pagado"
"09/09/2023","Gasto","Ocio","Entretenimiento","3,20","Variable","Pagado"
"10/09/2023","Gasto","Ocio","Entretenimiento","18,06","Variable","Pagado"
"12/09/2023","Gasto","Ocio","Entretenimiento","12,00","Variable","Pagado"
"17/09/2023","Gasto","Ocio","Entretenimiento","5,00","Variable","Pagado"
"21/09/2023","Gasto","Ocio","Entretenimiento","0,32","Variable","Pagado"
"22/09/2023","Gasto","Ocio","Entretenimiento","4,60","Variable","Pagado"
"27/09/2023","Gasto","Ocio","Entretenimiento","20,80","Variable","Pagado"
"14/09/2023","Gasto","Tecnología","Tecnología","12,99","Variable","Pagado"
"23/09/2023","Gasto","Tecnología","Tecnología","2,99","Variable","Pagado"
"02/09/2023","Gasto","Coche","Coche","35,00","Variable","Pagado"
"04/09/2023","Gasto","Coche","Coche","201,50","Variable","Pagado"
"05/09/2023","Gasto","Coche","Coche","35,00","Variable","Pagado"
"11/09/2023","Gasto","Coche","Coche","35,00","Variable","Pagado"
"16/09/2023","Gasto","Coche","Coche","48,70","Variable","Pagado"
"24/09/2023","Gasto","Coche","Coche","35,00","Variable","Pagado"
"06/09/2023","Gasto","Salud","Salud","23,80","Variable","Pagado"
"08/09/2023","Gasto","Salud","Salud","2,94","Variable","Pagado"
"13/09/2023","Gasto","Salud","Salud","12,00","Variable","Pagado"
"02/10/2023","Ingreso","Billetazo","Bizum","2,00","Variable","Pagado"
"03/10/2023","Ingreso","Billetazo","Bizum","2,00","Variable","Pagado"
"04/10/2023","Ingreso","Billetazo","Bizum","2,00","Variable","Pagado"
"05/10/2023","Ingreso","Billetazo","Bizum","1,20","Variable","Pagado"
"06/10/2023","Ingreso","Billetazo","Bizum","20,00","Variable","Pagado"
"07/10/2023","Ingreso","Billetazo","Bizum","17,00","Variable","Pagado"
"08/10/2023","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"09/10/2023","Ingreso","Billetazo","Bizum","60,00","Variable","Pagado"
"16/10/2023","Ingreso","Billetazo","Bizum","125,00","Variable","Pagado"
"22/10/2023","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"23/10/2023","Ingreso","Billetazo","Bizum","7,20","Variable","Pagado"
"25/10/2023","Ingreso","Billetazo","Bizum","6,00","Variable","Pagado"
"29/10/2023","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"02/10/2023","Gasto","Ocio","Comida","5,46","Variable","Pagado"
"03/10/2023","Gasto","Ocio","Comida","3,10","Variable","Pagado"
"04/10/2023","Gasto","Ocio","Comida","1,40","Variable","Pagado"
"05/10/2023","Gasto","Ocio","Comida","5,10","Variable","Pagado"
"06/10/2023","Gasto","Ocio","Comida","4,35","Variable","Pagado"
"07/10/2023","Gasto","Ocio","Comida","20,00","Variable","Pagado"
"09/10/2023","Gasto","Ocio","Comida","5,89","Variable","Pagado"
"10/10/2023","Gasto","Ocio","Comida","1,40","Variable","Pagado"
"11/10/2023","Gasto","Ocio","Comida","1,40","Variable","Pagado"
"13/10/2023","Gasto","Ocio","Comida","7,64","Variable","Pagado"
"14/10/2023","Gasto","Ocio","Comida","3,71","Variable","Pagado"
"15/10/2023","Gasto","Ocio","Comida","9,80","Variable","Pagado"
"16/10/2023","Gasto","Ocio","Comida","3,90","Variable","Pagado"
"17/10/2023","Gasto","Ocio","Comida","1,40","Variable","Pagado"
"18/10/2023","Gasto","Ocio","Comida","1,40","Variable","Pagado"
"19/10/2023","Gasto","Ocio","Comida","1,40","Variable","Pagado"
