"Fecha","Tipo","Categoría","Descripción","Importe","Compromiso","Estado"
"21/10/2025","Ingreso","Billetazo","Bizum","48,00","Variable","Pagado"
"26/10/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"20/10/2025","Gasto","Ocio","Comida","2,66","Variable","Pagado"
"30/10/2025","Gasto","Ocio","Comida","23,90","Variable","Pagado"
"16/10/2025","Gasto","Ropa","Ropa","9,98","Variable","Pagado"
"01/10/2025","Gasto","Ocio","Entretenimiento","4,20","Variable","Pagado"
"02/10/2025","Gasto","Ocio","Entretenimiento","170,00","Variable","Pagado"
"04/10/2025","Gasto","Ocio","Entretenimiento","12,51","Variable","Pagado"
"05/10/2025","Gasto","Ocio","Entretenimiento","4,95","Variable","Pagado"
"06/10/2025","Gasto","Ocio","Entretenimiento","2,42","Variable","Pagado"
"07/10/2025","Gasto","Ocio","Entretenimiento","5,00","Variable","Pagado"
"10/10/2025","Gasto","Ocio","Entretenimiento","9,20","Variable","Pagado"
"12/10/2025","Gasto","Ocio","Entretenimiento","19,40","Variable","Pagado"
"15/10/2025","Gasto","Ocio","Entretenimiento","3,00","Variable","Pagado"
"16/10/2025","Gasto","Ocio","Entretenimiento","10,80","Variable","Pagado"
"18/10/2025","Gasto","Ocio","Entretenimiento","4,10","Variable","Pagado"
"20/10/2025","Gasto","Ocio","Entretenimiento","29,05","Variable","Pagado"
"21/10/2025","Gasto","Ocio","Entretenimiento","4,40","Variable","Pagado"
"24/10/2025","Gasto","Ocio","Entretenimiento","12,00","Variable","Pagado"
"26/10/2025","Gasto","Ocio","Entretenimiento","9,33","Variable","Pagado"
"27/10/2025","Gasto","Ocio","Entretenimiento","16,10","Variable","Pagado"
"30/10/2025","Gasto","Ocio","Entretenimiento","3,50","Variable","Pagado"
"04/10/2025","Gasto","Tecnología","Tecnología","2,60","Variable","Pagado"
"09/10/2025","Gasto","Tecnología","Tecnología","2,99","Variable","Pagado"
"31/10/2025","Gasto","Tecnología","Tecnología","15,82","Variable","Pagado"
"11/10/2025","Gasto","Coche","Coche","35,00","Variable","Pagado"
"17/10/2025","Gasto","Coche","Coche","0,45","Variable","Pagado"
"20/10/2025","Gasto","Coche","Coche","0,65","Variable","Pagado"
"21/10/2025","Gasto","Coche","Coche","1,85","Variable","Pagado"
"24/10/2025","Gasto","Coche","Coche","35,00","Variable","Pagado"
"31/10/2025","Gasto","Coche","Coche","0,75","Variable","Pagado"
"01/10/2025","Gasto","Moto","Moto","14,19","Variable","Pagado"
"02/11/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"08/11/2025","Ingreso","Billetazo","Bizum","20,00","Variable","Pagado"
